Genus,freq,Family
Aranda,2209,Orchidaceae
Aranthera,10379,Orchidaceae
Asparagus (fern),4435,Asparagaceae
Aspidistra,6241,Asparagaceae
Berzelia,2688,Bruniaceae
"Bouquet, Alstroemeria",1206,Alstroemeriaceae
"Bouquet, Carnation",1293,Caryophyllaceae
"Bouquet, Carnation (mini)",1798,Caryophyllaceae
"Bouquet, Lily",,Liliaceae
"Bouquet, Mixed",93618,Mixed
"Bouquet, Pompon",,Asteraceae
"Bouquet, Rose",38415,Rosaceae
Brillantaisia,,Acanthaceae
Brunia,4644,Bruniaceae
Caspia,,Plumbaginaceae
Chrysanthemum (pom-pon),38308,Asteraceae
Craspedia,16005,Asteraceae
Danae,1059,Asparagaceae
Dianthus (mini),29585,Caryophyllaceae
Eremurus,6232,Asphodelaceae
Eucomis,,Asparagaceae
Godetia,6097,Onagraceae
Hortensia,,Hydrangeaceae
Leucadendron,17838,Proteaceae
Leucocoryne,,Amaryllidaceae
Lisianthus,16312,Gentianaceae
Mathiola,11371,Brassicaceae
Mokara,18591,Orchidaceae
Orlaya,,Apiaceae
Ozothamnus,2872,Asteraceae
Palm foliage,1427,Arecaceae
Papyrus,,Cyperaceae
Renanstylis,,Orchidaceae
Ruscus,29277,Asparagaceae
Sandersonia,1512,Colchicaceae
Serruria,1581,Proteaceae
Sinensis,1177,
Solidaster,,Asteraceae
Stemona,,Stemonaceae
Stephanotis,,Apocynaceae
Trachelium,10706,Campanulaceae
Xanthorrhoea,,Asphodelaceae
