DISP_CD,Group,Pest found
DEAP,AP,Yes
DEAR,AP,Yes
ESNR,AP,Yes
FUAP,AP,Yes
FUAR,AP,Yes
OTAP,AP,Yes
PICO,AP,Yes
RXAP,AP,Yes
RXAR,AP,Yes
FUPC,IR,No
IRAR,IR,No
IRCO,IR,No
IRMR,IR,No
IRPD,IR,No
OTPC,IR,No
PCIR,IR,No
DECC,NR,?
DEPC,NR,?
DEPP,NR,?
DPRP,NR,?
IEND,NR,?
OTPP,NR,?
RXCC,NR,?
RXPC,NR,?
RXPP,NR,?
RXWP,NR,?
TEOC,NR,?
CTPT,PA,Yes
DEPQ,PA,Yes
FUPQ,PA,Yes
FUPT,PA,Yes
OTAR,PA,Yes
OTCO,PA,Yes
OTPQ,PA,Yes
OTPT,PA,Yes
RXPQ,PA,Yes
DEPD,PD,No
OTPD,PD,No
RXPD,PD,No
PPRP,PP,n/a
CCNA,R,No
PCNA,R,No
REAR,R,No
